Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2005-01-20,79.28523254394531,8.979455947875977,9.86909294128418,15.699973106384277,19.779935836791992,7.6043572425842285,13.362629890441895,6.595789432525635,20.54593849182129,12.985674858093262
2005-01-21,78.79940795898438,8.94187068939209,9.890836715698242,15.620657920837402,19.653396606445312,7.550780296325684,13.248272895812988,6.569479942321777,20.406967163085938,12.939605712890625
2005-01-24,78.64420318603516,8.8165922164917,9.977784156799316,15.62594223022461,19.593461990356445,7.4895453453063965,13.196807861328125,6.626876354217529,20.233266830444336,12.812938690185547
2005-01-25,78.86685943603516,8.863572120666504,10.018545150756836,15.636519432067871,19.779935836791992,7.501025199890137,13.248272895812988,6.588611602783203,20.372230529785156,12.84748363494873
2005-01-26,79.10308837890625,8.879233360290527,10.11636734008789,15.710552215576172,19.81989097595215,7.577564716339111,13.236834526062012,6.684274196624756,20.497299194335938,12.91657829284668
2005-01-27,79.23802947998047,8.926212310791016,10.206042289733887,15.63123607635498,19.87317657470703,7.569913387298584,13.311163902282715,6.7177557945251465,20.455608367919922,12.889702796936035
2005-01-28,79.23802947998047,8.91681957244873,10.083758354187012,15.610081672668457,19.853199005126953,7.569913387298584,13.316888809204102,6.7249298095703125,20.288848876953125,12.828286170959473
2005-01-31,79.73060607910156,9.026437759399414,10.20331859588623,15.795164108276367,20.112930297851562,7.6234917640686035,13.351189613342285,6.801458358764648,20.323591232299805,12.966473579406738
2005-02-01,80.23668670654297,9.101605415344238,10.377222061157227,15.964369773864746,20.172868728637695,7.669419288635254,13.356908798217773,6.846895694732666,20.51814079284668,12.977994918823242
2005-02-02,80.47958374023438,9.195563316345215,10.521241188049316,15.964369773864746,20.172868728637695,7.673242568969727,13.46554946899414,6.873203754425049,20.601518630981445,13.016377449035645
2005-02-03,80.2704086303711,9.14232063293457,10.572861671447754,15.890342712402344,20.112930297851562,7.6234917640686035,13.442678451538086,6.892336845397949,20.538982391357422,12.989505767822266
2005-02-04,81.12735748291016,9.245677947998047,10.610905647277832,16.08070945739746,20.279428482055664,7.753608703613281,13.517010688781738,6.9592976570129395,20.726594924926758,13.108504295349121
2005-02-07,81.0194091796875,9.242546081542969,10.54025650024414,16.096574783325195,20.26610565185547,7.730647087097168,13.488420486450195,6.944948673248291,20.740478515625,13.143043518066406
2005-02-08,81.11387634277344,9.242546081542969,10.616341590881348,16.033117294311523,20.37932586669922,7.768924713134766,13.505574226379395,6.9856061935424805,20.78912353515625,13.112345695495605
2005-02-09,80.50662994384766,9.1141357421875,10.597317695617676,15.990813255310059,20.16620445251465,7.634973526000977,13.385502815246582,6.944948673248291,20.5667781829834,12.966473579406738
2005-02-10,80.79669952392578,9.236276626586914,10.88807487487793,16.038400650024414,20.25944709777832,7.650285243988037,13.379782676696777,6.952120780944824,20.601518630981445,13.020214080810547
2005-02-11,81.49172973632812,9.327110290527344,10.983177185058594,16.16531753540039,20.39263916015625,7.722996234893799,13.459830284118652,6.956906318664551,20.809968948364258,13.085471153259277
2005-02-14,81.43099975585938,9.336508750915527,10.9967622756958,16.138870239257812,20.37266731262207,7.738301753997803,13.46554946899414,7.019085884094238,20.82386016845703,13.066275596618652
2005-02-15,81.73464965820312,9.386619567871094,11.02121639251709,16.175893783569336,20.439266204833984,7.776573657989502,13.488420486450195,7.007129669189453,20.816913604736328,13.16991901397705
2005-02-16,81.78862762451172,9.505636215209961,11.330981254577637,16.064842224121094,20.499204635620117,7.749784469604492,13.522721290588379,7.0262603759765625,20.78912353515625,13.146883964538574
2005-02-17,81.12735748291016,9.471186637878418,11.178813934326172,15.922062873840332,20.31272315979004,7.6234917640686035,13.43696403503418,7.011909008026123,20.76132583618164,13.081636428833008
2005-02-18,81.23531341552734,9.577674865722656,11.4260835647583,15.752851486206055,20.31272315979004,7.608184337615967,13.419805526733398,6.9377760887146,21.074005126953125,13.054762840270996
2005-02-22,80.0274887084961,9.433597564697266,11.344571113586426,15.520180702209473,19.98639678955078,7.5660881996154785,13.219684600830078,6.77276086807251,20.82386016845703,12.797579765319824
2005-02-23,80.60105895996094,9.577674865722656,11.488582611083984,15.66296100616455,20.01303482055664,7.543123722076416,13.253988265991211,6.808633327484131,20.921142578125,12.878190994262695
